,SRR32936402,SRR32936389,SRR32938709,SRR32936396,SRR32936412,SRR32938731,SRR32938711,SRR32938723,SRR32938694,SRR32938705,SRR32936377,SRR32936401,SRR32936410,SRR32936379,SRR32938685,SRR32936376,SRR32938686,SRR32936420,SRR32936403,SRR32936388,SRR32938688,SRR32936422,SRR32936405,SRR32936390,SRR32936421,SRR32938721,SRR32938712,SRR32938684,SRR32938702,SRR32936383,SRR32936417,SRR32938693,SRR32938725,SRR32936415,SRR32936406,SRR32938730,SRR32936385,SRR32938728,SRR32938733,SRR32938713,SRR32936394,SRR32936416,SRR32938720,SRR32938704,SRR32938717,SRR32938722,SRR32936381,SRR32936408,SRR32936395,SRR32936407,SRR32938690,SRR32936384,SRR32938703,SRR32938734,SRR32938729,SRR32936414,SRR32936423,SRR32938707,SRR32938708,SRR32936393,SRR32938699,SRR32938689,SRR32938732,SRR32936382,SRR32938724,SRR32938718,SRR32936404,SRR32938687,SRR32936378,SRR32938715,SRR32938696,SRR32936409,SRR32938698,SRR32936386,SRR32936419,SRR32938706,SRR32936391,SRR32938701,SRR32936424,SRR32936418,SRR32938726,SRR32938710,SRR32936413,SRR32938697,SRR32936380,SRR32938714,SRR32938692,SRR32938691,SRR32938716,SRR32936392,SRR32938695,SRR32936387,SRR32938727,SRR32936398,SRR32936425,SRR32936411,SRR32936397,SRR32938719,SRR32936399,SRR32938700,SRR32936400
g__Abiotrophia,417.0,323.0,11.0,2.0,31.0,16.0,8.0,2.0,15.0,44.0,137.0,193.0,55.0,104.0,211.0,96.0,2.0,4.0,145.0,4.0,217.0,343.0,523.0,200.0,79.0,436.0,845.0,12.0,58.0,2.0,36.0,0.0,38.0,23.0,615.0,6436.0,49.0,10.0,365.0,129.0,0.0,56.0,80.0,7.0,2.0,1180.0,140.0,0.0,7.0,881.0,105.0,7.0,2.0,5.0,221.0,339.0,12.0,11.0,1631.0,4.0,139.0,209.0,464.0,0.0,120.0,873.0,2.0,51.0,316.0,1835.0,16.0,642.0,442.0,82.0,11.0,105.0,30.0,24.0,43.0,31.0,321.0,1189.0,53.0,30.0,30.0,3.0,139.0,4.0,2338.0,29.0,162.0,21.0,148.0,2.0,27.0,44.0,46.0,338.0,204.0,13.0,3.0
g__Absconditabacteriales_(SR1),0.0,264.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0,3.0,5.0,104.0,4.0,0.0,38.0,0.0,0.0,16.0,62.0,2.0,0.0,16.0,2.0,225.0,1.0,0.0,0.0,4.0,27.0,0.0,113.0,0.0,1.0,117.0,50.0,10.0,17.0,5.0,35.0,0.0,0.0,41.0,2.0,0.0,0.0,47.0,0.0,0.0,0.0,277.0,7.0,0.0,0.0,0.0,27.0,82.0,4.0,0.0,7.0,220.0,16.0,0.0,0.0,0.0,114.0,0.0,0.0,9.0,26.0,2.0,2.0,9.0,25.0,361.0,0.0,5.0,176.0,15.0,19.0,0.0,2.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,28.0,70.0,57.0,2.0,2.0,0.0,0.0,0.0,7.0,10.0,6.0,36.0,1.0
g__Acholeplasma,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Acinetobacter,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,19.0,0.0,11.0,0.0,8.0,6.0,0.0,0.0,23.0,7.0,0.0,8.0,4.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,2.0,4.0,4.0,0.0,10.0,0.0,0.0,160.0,0.0,0.0,0.0,2.0,8.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0
g__Actinobacillus,7.0,1211.0,3.0,209.0,368.0,6.0,12.0,3.0,6.0,165.0,115.0,211.0,8.0,39.0,5408.0,827.0,6.0,90.0,37.0,141.0,334.0,1514.0,9.0,42.0,895.0,4254.0,2.0,30.0,4.0,13.0,4.0,3.0,7.0,997.0,0.0,90.0,25.0,91.0,793.0,6.0,0.0,0.0,487.0,4.0,3.0,89.0,1228.0,7.0,26.0,998.0,39.0,7.0,4.0,5.0,1107.0,99.0,42.0,6.0,239.0,7.0,47.0,94.0,287.0,5.0,1087.0,6.0,0.0,2273.0,7769.0,12.0,8.0,2.0,96.0,137.0,5.0,807.0,0.0,2.0,7.0,3.0,0.0,2.0,71.0,88.0,13.0,8.0,362.0,2.0,456.0,8.0,3244.0,172.0,0.0,2.0,4.0,4.0,2011.0,3.0,31.0,3.0,2.0
g__Actinomyces,9895.0,2443.0,4035.0,9130.0,12889.0,12994.0,2033.0,18601.0,28725.0,11272.0,10600.0,10941.0,6367.0,11184.0,2453.0,12263.0,17081.0,13629.0,20011.0,5805.0,2406.0,10959.0,11239.0,6100.0,9436.0,15359.0,15939.0,71632.0,4722.0,28721.0,7807.0,6205.0,6688.0,12058.0,7113.0,6985.0,13073.0,15522.0,4159.0,14790.0,30522.0,15813.0,24926.0,15550.0,10215.0,8621.0,3351.0,15737.0,6772.0,9546.0,8181.0,11748.0,1784.0,30002.0,10651.0,9168.0,9477.0,10612.0,11371.0,11803.0,26291.0,8090.0,39721.0,9722.0,7030.0,6089.0,19381.0,17173.0,4574.0,12534.0,42359.0,11455.0,1341.0,4887.0,4872.0,1843.0,9811.0,5471.0,12960.0,6872.0,9717.0,8173.0,10954.0,8570.0,7339.0,9012.0,3162.0,15607.0,20321.0,9973.0,10321.0,7262.0,1818.0,30005.0,4974.0,6662.0,14129.0,16688.0,2819.0,5115.0,9951.0
g__Aerococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Aggregatibacter,550.0,3910.0,83.0,429.0,75.0,1483.0,26.0,12.0,1847.0,8260.0,296.0,998.0,771.0,82.0,556.0,58.0,4.0,114.0,423.0,15.0,13.0,1725.0,1042.0,315.0,124.0,1157.0,613.0,126.0,352.0,185.0,764.0,44.0,2050.0,217.0,372.0,6494.0,517.0,126.0,488.0,14054.0,165.0,286.0,55.0,61.0,13.0,1952.0,184.0,52.0,399.0,1633.0,53.0,313.0,809.0,15.0,1208.0,944.0,946.0,32.0,599.0,89.0,130.0,200.0,45.0,2.0,2594.0,51.0,179.0,108.0,274.0,379.0,850.0,172.0,137.0,1221.0,15.0,688.0,1020.0,121.0,184.0,35.0,911.0,4020.0,323.0,3652.0,633.0,65.0,544.0,2092.0,974.0,329.0,1552.0,121.0,334.0,23.0,1078.0,135.0,1292.0,1946.0,429.0,564.0,63.0
g__Alloprevotella,4360.0,4805.0,669.0,550.0,3300.0,184.0,11947.0,169.0,1025.0,430.0,883.0,7893.0,3914.0,2923.0,317.0,29.0,215.0,3915.0,7234.0,3362.0,1500.0,8063.0,1720.0,306.0,7607.0,596.0,211.0,212.0,1281.0,3025.0,991.0,651.0,445.0,6944.0,2245.0,3433.0,11241.0,658.0,2175.0,203.0,1281.0,716.0,62.0,7856.0,1503.0,1363.0,3251.0,1730.0,3342.0,5508.0,909.0,1306.0,72.0,15.0,2750.0,4103.0,1711.0,992.0,341.0,2470.0,59.0,406.0,16.0,4956.0,1097.0,263.0,5423.0,808.0,1635.0,593.0,386.0,2299.0,5827.0,6305.0,214.0,351.0,2467.0,735.0,3414.0,1591.0,580.0,3451.0,7082.0,782.0,4269.0,766.0,488.0,3242.0,458.0,3827.0,1113.0,1153.0,676.0,2445.0,66.0,3355.0,2546.0,1070.0,2869.0,412.0,4736.0
g__Alloscardovia,2.0,6.0,16.0,3.0,9.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,28.0,16.0,0.0,12.0,34.0,7.0,17.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,9.0,19.0,0.0,0.0,2.0,3.0,2.0,60.0,6.0,0.0,0.0,6.0,0.0,4.0,52.0,15.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,10.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,0.0,9.0,3.0,0.0,147.0,4.0,0.0,0.0,0.0,0.0,10.0,34.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,18.0,0.0,72.0,0.0,0.0,0.0,9.0,27.0,0.0,10.0,0.0,328.0
